RowName,Name,Identity_number,passport_number,Passport_validityperiod,Gender,BirthDate,Residence,Npc_Type
1,Ethan Walker,S9678042,P36882185,2029.12.12,0,1992.01.23,Reuben - Maple Ridge,1
2,Sophia Morgan,S6669843,P41323330,2030.05.15,1,1997.02.13,Fertebuk - Sapphire Hill,3
3,Liam Parker,S4130551,P37395478,2028.08.07,0,1979.03.29,Ravenia - Rosewood Avenue,2
4,Olivia Bennett,S5203984,P97249250,2031.02.21,1,2002.07.11,Reuben - Willow Creek,4
5,Noah Johnson,S9565737,P49645010,2027.09.30,0,1988.04.19,Fertebuk - Emerald Row,2
6,Ava Wilson,S5829738,P44524170,2029.11.10,0,1993.06.21,Ravenia - Oakwood Secret,4
7,James Carter,S6087214,P03515692,2028.03.13,0,1996.05.02,Reuben - Maple Ridge,1
8,Emma Cooper,S8653832,P93855107,2027.06.24,1,1984.08.25,Fertebuk - Crystal Lake,3
9,Lucas Wright,S6609529,P62464386,2028.01.29,0,1974.12.15,Ravenia - Rosewood Avenue,2
10,Mia Thompson,S5863888,P90376330,2030.10.03,1,1995.03.10,Reuben - Willow Creek,1
11,Benjamin Reed,S1583974,P11288290,2029.07.17,1,1991.11.09,Reuben - Maple Ridge,4
12,Grace Miller,S0693785,P00270207,2030.12.22,1,1998.02.05,Fertebuk - Sapphire Hill,1
13,Henry Collins,S3825274,P24456210,2029.01.19,0,1985.07.14,Ravenia - Oakwood Secret,2
14,Chloe Peterson,S3406130,P54525572,2028.05.30,1,1990.04.03,Ravenia - Rosewood Avenue,2
15,Elijah Scott,S9029230,P35949439,2029.08.25,1,1982.12.28,Fertebuk - Emerald Row,3
