RowName,Name,Identity_number,passport_number,Passport_validityperiod,Gender,BirthDate,Residence,Purpose,Period_stay,Stamp,Npc_Type,Nation
1,Abigail Hoover,S5778202,P96251973,2029.11.11,1,1993.06.22,Reuben - Willow Creek,Business,5,1,2,1
2,William Maxwell,S3578858,P24880967,2028.04.14,0,1995.07.09,Fertebuk - Crystal Lake,Meeting,3,1,3,2
3,Elizabeth Brown,S5344860,P26770690,2027.07.25,1,1989.09.18,Reuben - Maple Ridge,Tour,7,1,4,1
4,Daniel Richmond,S9898963,P98789518,2029.03.31,0,1976.05.14,Ravenia - Rosewood Avenue,Family visit,10,1,1,3
5,Julia Harris,S2144277,P37204035,2030.09.07,1,1997.01.02,Fertebuk - Sapphire Hill,Education,14,1,4,2
6,Charles Graham,S3099878,P56490183,2028.02.08,0,1987.06.24,Ravenia - Oakwood Secret,Medical treatment,3,1,2,3
7,Charlotte Green,S6905135,P46693481,2027.12.15,1,1992.11.11,Reuben - Willow Creek,Education,14,1,1,1
8,Sebastian Jackson,S0394396,P32362612,2028.06.27,0,1984.10.22,Fertebuk - Emerald Row,Meeting,7,1,3,2
9,Hannah Brooks,S2976690,P56857124,2029.09.21,1,1995.04.13,Ravenia - Rosewood Avenue,Business,4,1,4,3
10,Matthew Cooper,S9730979,P00024864,2028.01.16,0,1979.05.19,Reuben - Maple Ridge,Tour,10,1,1,1
11,Amelia White,S4947178,P66074215,2029.05.22,1,1986.08.29,Fertebuk - Crystal Lake,Family visit,14,0,3,2
12,Joshua Hill,S7838998,P44874537,2030.03.05,1,1993.03.23,Ravenia - Oakwood Secret,Terror,7,1,1,3
13,Eva Black,S2558906,P59196766,2027.11.12,0,1998.12.01,Reuben - Willow Creek,Tour,5,1,2,1
