RowName,Name,Identity_number,passport_number,Passport_validityperiod,Gender,BirthDate,Residence,Purpose,Period_stay,Stamp,Diagnosis,Npc_Type,Nation
1,Giselle Brown,S4943877,P94714967,2027.06.10,1,1997.08.15,Ravenia - Rosewood Avenue,Education,14,1,1,3,3
2,Connor Blake,S2732548,P33510725,2028.04.23,0,1992.11.19,Reuben - Maple Ridge,Meeting,7,1,1,4,1
3,Megan Martin,S1513316,P71395011,2030.05.01,0,1995.06.11,Fertebuk - Crystal Lake,Tour,10,1,0,2,2
4,Jasper Richmond,S6739882,P09344326,2029.09.08,1,1987.03.07,Ravenia - Oakwood Secret,Family visit,14,1,1,1,3
5,Camilla Robinson,S8450995,P40916621,2027.12.19,1,1990.01.23,Reuben - Willow Creek,Business,5,1,1,4,1
6,Jared Cross,S2463428,P18518454,2028.06.30,0,1984.11.12,Fertebuk - Sapphire Hill,Meeting,7,1,1,2,2
7,Eliza Kelly,S3214776,P36450820,2029.02.21,1,1998.09.14,Ravenia - Rosewood Avenue,Tour,10,1,0,3,3
8,Austin Bell,S3694715,P23704216,2030.08.16,1,1994.03.30,Reuben - Maple Ridge,Education,14,1,1,4,1
9,Brianna Bloom,S3456978,P56636347,2029.07.12,1,1995.10.04,Fertebuk - Crystal Lake,Business,4,1,1,1,2
10,Javier Lopez,S6712731,P17013081,2028.03.15,0,1982.02.25,Ravenia - Rosewood Avenue,Family visit,14,1,1,1,3
